id,Latitud,Longitud
1,25.74734348,-100.1982812
2,25.6586662,-100.355001
3,25.65240719,-100.1114287
4,25.67448526,-100.4507859
5,25.7243291,-100.1659891
6,25.671144,-100.323629
7,25.732152,-100.24901
8,25.795613,-100.583171
9,25.926984,-100.378931
10,25.738157,-100.314815
11,25.876841,-100.22703
12,25.61989,-100.284073
13,25.97433573,-100.2843074
14,25.71311,-100.242
15,25.875635,-100.232435
16,25.724658,-100.290431
17,25.649157,-100.288254
18,25.671869,-100.420956
19,25.795485,-100.583335
20,25.672752,-100.348696
21,25.743903,-100.286455
22,25.589322,-100.257679
23,25.59828028,-100.0286358
24,25.875573,-100.231602
25,25.732356,-100.400759
26,25.764046,-100.399833
27,25.698519,-100.272634
28,25.644782,-100.095071
29,25.716951,-100.296892
30,25.676121,-100.103182
31,25.764063,-100.399782
32,25.779131,-100.387261
33,25.707175,-100.281193
34,25.66567884,-100.3131451
35,25.762805,-100.409951
36,25.661816,-100.259891
37,25.668665,-100.234277
38,25.681159,-100.453793
39,25.753529,-100.266226
40,25.96015,-100.298268
41,25.655548,-100.385646
42,25.73403,-100.227077
43,25.783746,-100.4699294
44,25.676398,-100.291151
45,25.691234,-100.240188
46,25.668116,-100.315122
47,25.689091,-100.212113
48,25.679164,-100.433285
49,25.684617,-100.43559
50,25.766505,-100.304534
51,25.777035,-100.184135
52,25.717905,-100.33967
53,25.665044,-100.265075
54,25.644202,-100.325179
55,25.696882,-100.319087
56,25.64794,-100.356113
57,25.755897,-100.539646
58,25.648109,-100.296468
59,25.731682,-100.396188
60,25.681297,-100.318121
61,25.766,-100.195315
62,25.673458,-100.311193
63,25.737559,-100.324827
64,25.776107,-100.384186
65,25.63789,-100.314038
66,25.755646,-100.297196
67,25.684506,-100.348321
68,25.678816,-100.331067
69,25.639681,-100.317679
70,24.8810101,-99.58149089
71,25.72736,-100.367459
72,25.77748708,-100.1143745
73,25.72657082,-100.3944257
74,25.713139,-100.241896
75,25.730123,-100.345196
76,25.834926,-100.310912
77,25.586566,-100.256712
78,25.75801392,-99.98903762
79,25.761265,-99.986435
80,25.66158171,-100.3524471
81,25.674174,-100.436569
82,25.730123,-100.345196
83,25.70338,-100.31605
84,25.639149,-100.320046
85,25.679021,-100.239244
86,25.729443,-100.392868
87,25.788686,-100.145839
88,25.653694,-100.343692
89,25.745802,-100.26042
90,25.77748708,-100.1143745
91,25.751868,-100.299119
92,25.707445,-100.285262
93,25.672717,-100.369595
94,25.66893,-100.351147
95,25.762146,-100.27648
96,26.506387,-100.175156
97,25.856246,-100.291588
98,25.783067,-100.236128
99,25.716243,-100.248607
100,25.704484,-100.521328
101,25.586621,-99.943718
102,25.67072,-100.297515
103,25.76587198,-100.1936017
104,25.680457,-100.251386
105,25.6675908,-100.2418998
106,25.627215,-100.337544
107,25.72552,-100.367622
108,25.713012,-100.362508
109,25.682534,-100.265484
110,25.697075,-100.316076
111,25.770112,-100.27381
112,25.74853361,-99.96942472
113,25.7905,-100.324
114,25.777943,-100.213258
115,25.744358,-100.176254
116,25.666324,-100.313787
117,25.781599,-100.181137
118,25.665482,-100.280552
119,25.696945,-100.318633
120,25.755883,-100.279965
121,25.87544,-100.23151
122,25.744777,-100.227246
123,25.600999,-99.985109
124,25.689027,-100.257426
125,25.713108,-100.295072
126,25.62377,-100.275437
127,25.670776,-100.377227
128,25.671445,-100.306774
129,25.678182,-100.449013
130,25.770469,-100.168846
131,25.68395,-100.460174
132,25.626082,-100.27536
133,25.698519,-100.272634
134,25.653556,-100.175532
135,25.6576718,-100.2229591
136,25.674658,-100.356096
137,25.679389,-100.311811
138,25.74903193,-100.2565435
139,25.67896,-100.232039
140,25.657717,-100.304334
141,25.639442,-100.316591
142,25.657064,-100.191282
143,25.652,-100.338
144,25.77161,-100.27401
145,25.6084,-100.271
146,25.653298,-100.275463
147,25.76002,-99.982863
148,25.671935,-100.319398
149,25.79391917,-100.3080077
150,25.744922,-100.227291
151,25.713078,-100.241988
152,25.705947,-100.339
153,25.671255,-100.377757
154,25.66849,-100.24268
155,25.69555,-100.359988
156,25.77523,-100.116063
157,25.695018,-100.242757
158,25.650113,-100.187388
159,25.766848,-100.30772
160,25.699512,-100.469555
161,24.881064,-99.585424
162,25.772966,-100.260103
163,25.745411,-100.302551
164,25.674673,-100.459646
165,25.666844,-100.325523
166,25.723216,-100.203017
167,25.723091,-100.198832
168,25.687337,-100.330616
169,25.715763,-100.35032
170,25.72235183,-100.3621378
171,25.6576718,-100.2229591
172,25.722105,-100.215845
173,25.69542493,-100.3793543
174,25.798252,-100.587786
175,25.689157,-100.455236
176,25.652029,-100.338011
177,25.76677596,-100.3027908
178,25.665101,-100.209036
179,25.684878,-100.48586
180,25.673796,-100.465733
181,25.58644,-100.257977
182,25.75459029,-100.289345
183,25.673297,-100.202686
184,25.65025432,-100.3397389
185,25.651531,-100.289715
186,25.666109,-100.271381
187,25.657256,-100.411172
188,25.657272,-100.181926
189,25.760261,-100.401864
190,25.653533,-100.177431
191,25.685279,-100.318158
192,25.694647,-100.315498
193,25.745816,-100.239338
194,25.711297,-100.261908
195,25.67071,-100.297539
196,25.637755,-100.313949
197,25.676283,-100.31658
198,25.661678,-100.383935
199,25.27999898,-100.0171071
200,25.77689727,-100.1863651
201,25.78389925,-100.2353311
202,25.6500805,-100.3570556
203,25.72243364,-100.2050524
204,25.58918526,-100.0001407
205,25.40494704,-100.1336233
206,25.73875996,-100.4062031
207,25.66070825,-100.1493572
208,25.76994787,-100.316239
209,25.7892062,-100.3224049
210,25.74265177,-100.3124865
211,25.73073098,-100.3966676
212,25.68348237,-100.3541034
213,25.63898338,-100.3139542
214,25.65437868,-100.3592876
215,25.66436094,-100.3816565
216,25.65372586,-100.3433482
217,25.65545837,-100.385966
218,25.65284963,-100.3719131
219,25.65274999,-100.2766769
220,25.65274999,-100.2766769
221,25.65200653,-100.2654203
222,25.6607426,-100.1494907
223,25.68920037,-100.2567616
224,25.70280042,-100.2405058
225,25.72460332,-100.3424022
226,25.71686482,-100.2479023
227,25.6829072,-100.4859893
228,25.72636943,-100.3670563
229,25.67417228,-100.4298177
230,25.78093939,-100.1899019
231,24.85974594,-99.56740781
232,25.65067914,-100.3328412
233,25.70399247,-100.3405296
